Name,Id,Lat,Lng,Address,Features,Agoda,Website,Tel,SourceImage,Region
Chung-Ang Uiversity Hospital (중앙대학교병원),mdcl_3366398,37.5076357737,126.9608659589,"102 Heukseok-ro, Dongjak-gu, Seoul (06973)",Clinic,,,,,
"Circletour Co., Ltd. (주식회사 써클투어)",mdcl_3366418,37.4919055257,127.0310627899,"(#1411, Hwanghwa Building), 320 Gangnam-daero, Gangnam-gu, Seoul (06252)",Clinic,,,,,
Clean Vein Surgery Clinic (클린외과의원),mdcl_3562759,37.5046316919,127.0236103311,"5th Floor, Hyeoncheol Building, 371 Sapyeong-daero, Seocho-gu, Seoul (06541)",Clinic,,,,,
Creation & Love Women's Hospital (CLWH) (시엘병원),mdcl_3580435,35.1614865680,126.8853628995,"957 Mujin-daero, Seo-gu, Jeonnam-Gwangju Special Metropolitan City (61917)",Clinic,,,,,
DA Plastic Surgery (디에이성형외과),mdcl_3549075,37.4996574148,127.0316930691,"DA Plastic Surgery Building, 125 Teheran-ro, Gangnam-gu, Seoul (06133)",Clinic,,,,,
DERAaN Cheongdam Clinic (더안청담의원),mdcl_3539802,37.5228798678,127.0400305417,"2nd Floor, Cheongdam First Tower, 406 Dosan-daero, Gangnam-gu, Seoul (06062)",Clinic,,,,,
DIRAMS Korea Cancer Center Hospital(KCCH) (동남권원자력의학원 원자력병원),mdcl_3366511,35.3207161021,129.2424018483,"40 Jwadong-gil, Jangan-eup, Gijang-gun, Busan (46033)",Clinic,,,,,
DL Plastic Surgery (디엘성형외과의원),mdcl_3364834,37.5120002237,127.0204465215,"(4th Floor, Peyto Plaza), 563 Gangnam-daero, Seocho-gu, Seoul (06531)",Clinic,,,,,
DM Plastic Surgery (디엠성형외과),mdcl_3364641,37.5262542413,127.0269982998,"(2nd Floor), 158 Apgujeong-ro, Gangnam-gu, Seoul (06030)",Clinic,,,,,
DOWON TOUR (도원국제여행사),mdcl_3367406,37.6339536307,127.0710745564,"(#323), 9 Gongneung-ro 59ga-gil, Nowon-gu, Seoul (01830)",Clinic,,,,,
DRAnh Hairplant Clinic (닥터안헤어플란트의원),mdcl_3366119,37.5144002055,127.0349617988,"(2nd Floor), 647 Eonju-ro, Gangnam-gu, Seoul (06105)",Clinic,,,,,
Daegu Fatima Hospital (대구파티마병원),mdcl_3562921,35.8835606423,128.6239347870,"99 Ayang-ro, Dong-gu, Daegu (41199)",Clinic,,,,,
Deesse Plastic Surgery (청담여신성형외과의원),mdcl_3365252,37.5162441789,127.0206713808,"(14th-15th Floors, Nonhyeon-dong), 108 Dosan-daero, Gangnam-gu, Seoul (06038)",Clinic,,,,,
Design Plastic Surgery Clinic (디자인성형외과의원),mdcl_3477557,35.1580947831,129.0574863151,"10F, 785, Gaya-daero, Busanjin-gu, Busan (47257)",Clinic,,,,,
Docfinderkorea (닥파인더코리아),mdcl_3364592,37.5006906522,127.0330706923,"(#301, 3rd Floor), 72 Gangnam-daero 94-gil, Gangnam-gu, Seoul (06133)",Clinic,,,,,
Dogo Dental Clinic (도고치과의원),mdcl_3366209,37.5142423132,127.0584791065,"(4th Floor, Yungok Building), 533 Bongeunsa-ro, Gangnam-gu, Seoul (06087)",Clinic,,,,,
Dong-A University Hospital (동아대학교병원),mdcl_3580187,35.1202399352,129.0166131276,"26 Daesingongwon-ro, Seo-gu, Busan (49201)",Clinic,,,,,
Donggunsan Hospital (의료법인 오성의료재단 동군산병원),mdcl_3365404,35.9775386150,126.7374636026,"149 Jochon-ro, Gunsan-si, Jeonbuk-do (54033)",Clinic,,,,,
Dongpyun Korean Medicine Clinic (동편부부한의원),mdcl_3574617,37.3997288677,126.9616244818,"#202, 2nd Floor, 188 Burim-ro, Dongan-gu, Anyang-si, Gyeonggi-do (14055)",Clinic,,,,,
Dowoo Health Care (주식회사 도우티앤비),mdcl_3364789,35.8458032001,128.5911165067,"(2nd Floor), 7 Bongdeok-ro 1-gil, Nam-gu, Daegu (42430)",Clinic,,,,,
Dr. Kim's Stem Cell Clinic (김현수내과의원),mdcl_3364565,37.5286429818,127.0341448033,"(7th Floor, Ssangbong Building), 874 Eonju-ro, Gangnam-gu, Seoul (06017)",Clinic,,,,,
Dream Plastic Surgery (드림성형외과),mdcl_3367146,37.5246266862,127.0288509545,"(2nd Floor, Seokyeong University Building), 848 Nonhyeon-ro, Gangnam-gu, Seoul (06022)",Clinic,,,,,
ELITE Plastic Surgery (엘리트 성형외과),mdcl_3548986,37.4504100530,126.7028882920,"7th Floor, Entas Building, 593 Inju-daero, Namdong-gu, Incheon (21558)",Clinic,,,,,
Ebookers Korea Inc. ((주)이부커스코리아),mdcl_3364744,37.5635884380,127.0072129322,"(2nd Floor), 212 Jangchungdan-ro, Jung-gu, Seoul (04614)",Clinic,,,,,
Evita Clinic (에비타흉부외과의원),mdcl_3364569,37.5214214843,127.0278178057,"(5th Floor, Burda Moon Building), 815 Nonhyeon-ro, Gangnam-gu, Seoul (06032)",Clinic,,,,,
Ewha Womans University Mokdong Hospital (이화의대부속목동병원),mdcl_3547829,37.5371171312,126.8865857849,"1071 Anyangcheon-ro, Yangcheon-gu, Seoul (07985)",Clinic,,,,,
Ewha Womans University Seoul Hospital (이화의대부속서울병원),mdcl_3366161,37.5573166632,126.8362814705,"260 Gonghang-daero, Gangseo-gu, Seoul (07804)",Clinic,,,,,
Exprive (주식회사 엑스프리베),mdcl_3547648,37.5414641477,127.0582478006,"#705, 38 Ttukseom-ro 13-gil (Seongsu-dong 2-ga, Sangsang Planet), Seongdong-gu, Seoul (04785)",Clinic,,,,,
Eyeonce Eye Clinic Gangnam (강남아이원스안과의원),mdcl_3364770,37.5038401157,127.0235325821,"(5th-6th Floors, K-Platz), 368 Sapyeong-daero, Seocho-gu, Seoul (06611)",Clinic,,,,,
Faceline Plastic Surgery (페이스라인 성형외과의원),mdcl_3365514,37.5233990477,127.0286676727,"(1st Floor, Wonbang Plaza), 838 Nonhyeon-ro, Gangnam-gu, Seoul (06025)",Clinic,,,,,
Fastlane Inc.(YEOTI) (㈜패스트레인(여신티켓)),mdcl_3367754,37.5062820293,127.0530603812,"(10th Floor), 423 Teheran-ro, Gangnam-gu, Seoul (06159)",Clinic,,,,,
First Eye Clinic (퍼스트안과의원),mdcl_3539560,35.0976066965,129.0350065894,"6th–7th Floors, Eungwa & Medical Building, 5 Gudeok-ro, Jung-gu, Busan (48984)",Clinic,,,,,
First Samsung Eye Center (퍼스트삼성안과의원),mdcl_3467117,37.4958577817,127.0275629971,"5F, 22 Seocho-daero 78-gil, Seocho-gu, Seoul (06621)",Clinic,,,,,
Forever Plastic Surgery (포에버성형외과의원),mdcl_3367466,37.5183357572,127.0292372084,"(5th Floor, Patio9), 742 Nonhyeon-ro, Gangnam-gu, Seoul (06049)",Clinic,,,,,
"Frientrip Co., Ltd. (주식회사 프렌트립)",mdcl_3575655,37.5479742491,127.0441516773,"#G704, HEYGROUND, 115 Wangsimni-ro, Seongdong-gu, Seoul (04768)",Clinic,,,,,
Funtour Inc. (주식회사 재미난투어),mdcl_3366551,35.1725000849,129.1310156347,"(#803), 35 Centum dong-ro, Haeundae-gu, Busan (48059)",Clinic,,,,,
GANGNAM BRIGHT-SMILE EYE CLINIC (강남밝은미소안과),mdcl_3548684,37.4992712744,127.0275573454,"3rd Floor, YBM Gangnam Center, 408 Gangnam-daero, Gangnam-gu, Seoul (06134)",Clinic,,,,,
"GONGGAM HL MANAGEMENT Co., Ltd. ((주)공감에이치엘 매니지먼트)",mdcl_3366181,37.5751673404,126.9901086076,"#B119, 59 Donhwamun-ro 11ga-gil, Jongno-gu, Seoul (03132)",Clinic,,,,,
GSam Hospital (지샘병원),mdcl_3364333,37.3587250356,126.9473297081,"591 Gunpo-ro, Gunpo-si, Gyeonggi-do (15839)",Clinic,,,,,
Gachon University Gil Medical Center (의료법인 길의료재단 길병원),mdcl_3367207,37.4514544890,126.7092960126,"21, 774 Beon-gil, Namdong-daero, Namdong-gu, Incheon (21565)",Clinic,,,,,
Galaxy Plastic Surgery (갤럭시성형외과),mdcl_3364801,35.1569143711,129.0581001826,"(9th Floor, Noblesse Tower), 1 Seomyeon-ro 68beon-gil, Busanjin-gu, Busan (47286)",Clinic,,,,,
Gangnam 365 Dental Clinic (강남365치과의원),mdcl_3540163,37.3809922993,126.6566777632,"5th Floor, Honestar Mall, 157 Songdogukje-daero, Yeonsu-gu, Incheon (21984)",Clinic,,,,,
Gangnam Arumdaun Nara Beauty Clinic (강남 아름다운나라 피부과),mdcl_3364566,37.4978936744,127.0285934010,"(12th Floor), 390 Gangnam-daero, Gangnam-gu, Seoul (06232)",Clinic,,,,,
Gangnam Brand Eye Clinic (강남브랜드안과의원),mdcl_3452019,37.5083395694,127.0222214633,"3F & 8F-9F, 519 Gangnam-daero, Seocho-gu, Seoul (06536)",Clinic,,,,,
Gangnam Grand Eye Clinic (강남그랜드안과의원),mdcl_3452285,37.4951606561,127.0284684895,"4F-5F, 363 Gangnam-daero, Seocho-gu, Seoul (06621)",Clinic,,,,,
Gangnam JS Hospital (강남제이에스병원),mdcl_3366242,37.4899752421,127.0337376013,"122 Dogok-ro, Gangnam-gu, Seoul (06259)",Clinic,,,,,
Gangnam Joeunnun Vision Clinic (강남조은눈안과의원),mdcl_3364450,37.4987352472,127.0287683616,"(7th,9th Floors, Meditower), 107 Teheran-ro, Gangnam-gu, Seoul (06134)",Clinic,,,,,
Gangnam Leon Dental Clinic (강남레옹치과의원),mdcl_3539938,37.4996128797,127.0263546669,"4th Floor, Daedong Building, 415 Gangnam-daero, Seocho-gu, Seoul (06614)",Clinic,,,,,
Gangnam Severance Hospital (연세대학교 의과대학 강남세브란스병원),mdcl_3364662,37.4927390451,127.0468113333,"211 Eonju-ro, Gangnam-gu, Seoul (06273)",Clinic,,,,,
Gangnam Smile Eye Clinic (강남스마일안과의원),mdcl_3364495,37.4988268657,127.0267074350,"(4th,6th Floors, Tongyeong Building), 405 Gangnam-daero, Seocho-gu, Seoul (06615)",Clinic,,,,,
Girin Plastic Surgery (기린성형외과의원),mdcl_3367441,37.5026263910,127.0248380533,"(7th-8th Floors), 54 Seocho-daero 77-gil, Seocho-gu, Seoul (06611)",Clinic,,,,,
